Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
SUPERSOFT,100.867,18,19.96649916247906,597
ULTRASOFT,100.953,13,14.09051724137931,232
HYPERSOFT,104.045,4,13.303030303030303,33
