Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,95.861,19,20.520336605890602,713
ULTRASOFT,96.283,13,8.25,156
nan,100.109,1,0.0,1
HYPERSOFT,101.143,7,7.857142857142857,56
