Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
SUPERSOFT,105.149,11,19.70967741935484,248
Soft,105.412,11,15.03347280334728,239
ULTRASOFT,105.602,17,12.255434782608695,184
