Driver,PitStopCount,AvgPitDuration,Team
ALO,1,,McLaren
BOT,1,,Mercedes
GRO,1,,Haas F1 Team
HAM,1,,Mercedes
HAR,1,,Toro Rosso
HUL,1,,Renault
LEC,2,,Sauber
MAG,1,,Haas F1 Team
OCO,1,,Force India
PER,1,,Force India
RAI,1,,Ferrari
RIC,1,,Red Bull Racing
SAI,1,,Renault
STR,2,,Williams
VAN,1,,McLaren
VER,1,,Red Bull Racing
