Driver,PitStopCount,AvgPitDuration,Team
ALO,1,,McLaren
BOT,1,,Mercedes
ERI,1,,Sauber
GAS,1,,Toro Rosso
GRO,1,,Haas F1 Team
HAM,1,,Mercedes
HAR,1,,Toro Rosso
HUL,2,,Renault
MAG,1,,Haas F1 Team
OCO,1,,Force India
PER,1,,Force India
RAI,2,,Ferrari
RIC,1,,Red Bull Racing
SAI,1,,Renault
SIR,1,,Williams
STR,1,,Williams
VAN,1,,McLaren
VET,1,,Ferrari
