Driver,PitStopCount,AvgPitDuration,Team
ALO,1,,McLaren
BOT,1,,Mercedes
ERI,1,,Sauber
HAM,1,,Mercedes
HAR,1,,Toro Rosso
LEC,1,,Sauber
MAG,1,,Haas F1 Team
OCO,1,,Force India
PER,2,,Force India
RAI,1,,Ferrari
RIC,1,,Red Bull Racing
SAI,1,,Renault
SIR,2,,Williams
STR,1,,Williams
VAN,1,,McLaren
VER,1,,Red Bull Racing
VET,2,,Ferrari
