Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
SUPERSOFT,73.835,18,24.200488997555013,818
ULTRASOFT,75.059,9,18.42911877394636,261
HYPERSOFT,75.765,8,10.35344827586207,116
nan,131.618,1,0.0,1
