Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Medium,93.74,10,14.625468164794007,267
SUPERSOFT,94.053,17,10.515406162464986,357
Soft,94.327,17,13.360248447204969,322
nan,100.505,1,0.0,1
