Driver,PitStopCount,AvgPitDuration,Team
ALO,4,,McLaren
BOT,2,,Mercedes
ERI,1,,Sauber
GAS,2,,Toro Rosso
GRO,3,,Haas F1 Team
HAM,1,,Mercedes
HAR,2,,Toro Rosso
HUL,3,,Renault
LEC,3,,Sauber
MAG,3,,Haas F1 Team
OCO,1,,Force India
PER,1,,Force India
RAI,2,,Ferrari
SAI,3,,Renault
SIR,2,,Williams
STR,3,,Williams
VAN,2,,McLaren
VER,3,,Red Bull Racing
VET,1,,Ferrari
