Driver,PitStopCount,AvgPitDuration,Team
BOT,1,,Mercedes
ERI,3,,Sauber
GAS,2,,Toro Rosso
GRO,1,,Haas F1 Team
HAM,2,,Mercedes
HAR,2,,Toro Rosso
LEC,2,,Sauber
MAG,1,,Haas F1 Team
PER,1,,Force India
RAI,1,,Ferrari
RIC,1,,Red Bull Racing
SAI,2,,Renault
STR,2,,Williams
VAN,3,,McLaren
VER,1,,Red Bull Racing
VET,2,,Ferrari
