Position,Driver,Team,Points,Status,Medal
1.0,RIC,Red Bull Racing,25.0,Finished,🥇 1st
2.0,VET,Ferrari,18.0,Finished,🥈 2nd
3.0,HAM,Mercedes,15.0,Finished,🥉 3rd
