Position,Driver,Team,Points,Status,Medal
1.0,HAM,Mercedes,25.0,Finished,🥇 1st
2.0,VER,Red Bull Racing,18.0,Finished,🥈 2nd
3.0,VET,Ferrari,15.0,Finished,🥉 3rd
