Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,66.957,17,24.29456384323641,791
SUPERSOFT,67.241,14,14.482200647249192,309
ULTRASOFT,68.954,8,11.051724137931034,116
nan,69.252,1,0.0,1
