Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,95.785,19,22.21079258010118,593
ULTRASOFT,95.983,9,24.3159509202454,326
Medium,96.456,16,10.212903225806452,155
nan,98.417,1,0.0,1
