Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
PER,Force India,3,124.393,HYPERSOFT,5,1,4,20.0,28.2,False,True,40.09,38.563,45.74,50.55800000000001,False,14.0,79.33198529411764,10.256491794232268,75.1,129.605,5.496985294117653,61,0.88551550235509,Outlier
LEC,Sauber,3,124.116,ULTRASOFT,2,1,4,20.0,28.2,False,True,40.086,38.74,45.29,50.281000000000006,False,10.0,79.19442647058823,9.896275425280981,75.351,128.743,5.359426470588241,63,0.8889190991350824,Outlier
MAG,Haas F1 Team,3,124.468,ULTRASOFT,2,1,4,20.0,28.2,False,True,40.561,38.388,45.519,50.63300000000001,False,13.0,79.29816176470588,9.78722933612568,75.401,127.568,5.463161764705889,63,0.890136539614582,Outlier
ALO,McLaren,3,122.201,ULTRASOFT,2,1,4,20.0,28.2,False,True,40.848,37.497,43.856,48.366,False,18.0,81.0662564102564,12.345030972905551,76.18,128.423,7.2312564102564165,34,0.8678421921082439,Outlier
GAS,Toro Rosso,3,122.032,HYPERSOFT,2,1,4,20.0,28.2,False,True,40.685,37.75,43.597,48.197,False,11.0,79.11011764705883,9.26709048598884,75.699,125.067,5.275117647058829,63,0.8951416243876172,Outlier
GRO,Haas F1 Team,3,122.528,ULTRASOFT,2,1,4,20.0,28.2,False,True,42.092,38.186,42.25,48.69300000000001,False,12.0,79.1051911764706,9.32588351103602,75.47,125.262,5.270191176470596,63,0.8945406516431994,Outlier
ERI,Sauber,3,122.714,SUPERSOFT,2,2,4,20.0,28.2,False,True,42.774,37.378,42.562,48.879000000000005,False,15.0,79.53461194029852,7.917470588123119,76.403,122.714,5.699611940298514,64,0.9094650423499068,Outlier
VAN,McLaren,3,113.815,SUPERSOFT,2,2,4,20.0,28.2,False,True,35.197,37.087,41.531,39.980000000000004,False,16.0,79.35735820895523,7.207120840469938,75.765,113.815,5.5223582089552306,62,0.9167427457588588,Outlier
VET,Ferrari,4,126.206,ULTRASOFT,5,1,41,20.0,28.4,False,True,34.541,39.136,52.529,52.37100000000001,False,1.0,77.70317391304349,10.92543717251104,73.964,131.618,3.868173913043483,64,0.8767278755845045,Outlier
BOT,Mercedes,4,126.232,ULTRASOFT,6,1,41,20.0,28.4,False,True,35.476,38.066,52.69,52.397000000000006,False,2.0,77.76169565217391,10.854508560832528,73.992,130.792,3.92669565217392,64,0.8775110189244668,Outlier
VER,Red Bull Racing,4,125.31,HYPERSOFT,6,1,41,20.0,28.4,False,True,35.238,39.117,50.955,51.47500000000001,False,3.0,77.73714492753624,10.764142068863983,73.864,129.653,3.9021449275362383,64,0.8783730447976219,Outlier
HAM,Mercedes,4,124.395,ULTRASOFT,6,1,41,20.0,28.4,False,True,35.555,39.108,49.732,50.56,False,5.0,77.91855072463768,10.547416557867765,74.183,128.904,4.083550724637687,64,0.8807743035896973,Outlier
RIC,Red Bull Racing,4,123.891,HYPERSOFT,6,1,41,20.0,28.4,False,True,36.456,38.731,48.704,50.05600000000001,False,4.0,77.84949275362318,10.503146158376142,73.835,128.844,4.014492753623194,64,0.8811224397175341,Outlier
RAI,Ferrari,4,123.11,ULTRASOFT,6,1,41,20.0,28.4,False,True,36.733,38.126,48.251,49.275000000000006,False,6.0,77.96589855072463,10.410185005906651,74.075,129.069,4.130898550724644,64,0.8822058572075576,Outlier
OCO,Force India,4,121.921,HYPERSOFT,6,1,41,20.0,28.4,False,True,36.213,38.141,47.567,48.08600000000001,False,9.0,79.14182352941177,10.243000752521429,75.498,128.981,5.30682352941177,63,0.8854055950234521,Outlier
HUL,Renault,4,119.798,HYPERSOFT,6,1,41,20.0,28.4,False,True,35.199,37.96,46.639,45.96300000000001,False,7.0,79.04132352941177,10.156852702443786,75.488,129.285,5.206323529411771,63,0.8861316101795313,Outlier
SAI,Renault,4,119.041,HYPERSOFT,6,1,41,20.0,28.4,False,True,35.679,37.758,45.604,45.206,False,8.0,79.06833823529412,10.06189523201315,75.666,128.343,5.233338235294124,63,0.8871101887587467,Outlier
PER,Force India,4,118.545,HYPERSOFT,6,1,41,20.0,28.4,False,True,36.052,39.215,43.278,44.71000000000001,False,14.0,79.33198529411764,10.256491794232268,75.1,129.605,5.496985294117653,61,0.88551550235509,Outlier
LEC,Sauber,4,117.827,ULTRASOFT,3,1,41,20.0,28.4,False,True,36.122,39.554,42.151,43.992000000000004,False,10.0,79.19442647058823,9.896275425280981,75.351,128.743,5.359426470588241,63,0.8889190991350824,Outlier
MAG,Haas F1 Team,4,117.295,ULTRASOFT,3,1,41,20.0,28.4,False,True,35.978,39.145,42.172,43.46000000000001,False,13.0,79.29816176470588,9.78722933612568,75.401,127.568,5.463161764705889,63,0.890136539614582,Outlier
SIR,Williams,4,116.999,SUPERSOFT,3,1,41,20.0,28.4,False,True,36.432,39.099,41.468,43.164,False,17.0,78.87372307692308,5.485842268135801,75.924,116.999,5.038723076923085,62,0.9349707143973909,Outlier
ALO,McLaren,4,115.13,ULTRASOFT,3,1,41,20.0,28.4,False,True,36.31,38.593,40.227,41.295,False,18.0,81.0662564102564,12.345030972905551,76.18,128.423,7.2312564102564165,34,0.8678421921082439,Outlier
GAS,Toro Rosso,4,114.286,HYPERSOFT,3,1,41,20.0,28.4,False,True,36.619,38.759,38.908,40.45100000000001,False,11.0,79.11011764705883,9.26709048598884,75.699,125.067,5.275117647058829,63,0.8951416243876172,Outlier
