Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,90.696,18,11.904661016949152,472
Medium,91.245,18,11.90084985835694,353
nan,92.918,1,0.0,1
Hard,93.405,2,13.787234042553191,47
