Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,92.318,17,13.326470588235294,340
Medium,92.785,15,15.990453460620525,419
SUPERSOFT,93.354,9,14.366492146596858,191
nan,94.467,1,0.0,1
