Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
HYPERSOFT,74.26,17,13.601823708206688,329
SUPERSOFT,75.325,12,26.74271012006861,583
ULTRASOFT,76.27,15,26.46034482758621,580
nan,78.135,1,0.0,1
