Driver,PitStopCount,AvgPitDuration,Team
ALO,1,,McLaren
BOT,1,,Mercedes
ERI,1,,Sauber
GAS,1,,Toro Rosso
GRO,2,,Haas F1 Team
HAM,1,,Mercedes
HAR,1,,Toro Rosso
HUL,1,,Renault
LEC,1,,Sauber
MAG,1,,Haas F1 Team
OCO,1,,Force India
PER,1,,Force India
RAI,1,,Ferrari
RIC,1,,Red Bull Racing
SAI,1,,Renault
SIR,3,,Williams
STR,3,,Williams
VAN,2,,McLaren
VER,1,,Red Bull Racing
VET,1,,Ferrari
