Driver,PitStopCount,AvgPitDuration,Team
ALO,1,,McLaren
BOT,2,,Mercedes
GAS,1,,Toro Rosso
GRO,1,,Haas F1 Team
HAM,1,,Mercedes
LEC,1,,Sauber
MAG,1,,Haas F1 Team
OCO,1,,Racing Point
PER,1,,Racing Point
RIC,1,,Red Bull Racing
SAI,1,,Renault
SIR,1,,Williams
STR,1,,Williams
VAN,1,,McLaren
VER,1,,Red Bull Racing
VET,1,,Ferrari
