Driver,PitStopCount,AvgPitDuration,Team
BOT,1,,Mercedes
ERI,1,,Sauber
GAS,1,,Toro Rosso
GRO,1,,Haas F1 Team
HAM,1,,Mercedes
HAR,1,,Toro Rosso
MAG,1,,Haas F1 Team
OCO,1,,Racing Point
PER,1,,Racing Point
RAI,1,,Ferrari
RIC,1,,Red Bull Racing
SAI,1,,Renault
SIR,1,,Williams
STR,1,,Williams
VAN,1,,McLaren
VER,1,,Red Bull Racing
VET,1,,Ferrari
