Driver,PitStopCount,AvgPitDuration,Team
ALB,1,,Toro Rosso
BOT,1,,Mercedes
GAS,1,,Red Bull Racing
GIO,1,,Alfa Romeo Racing
GRO,1,,Haas F1 Team
HAM,1,,Mercedes
HUL,1,,Renault
KUB,2,,Williams
KVY,1,,Toro Rosso
LEC,1,,Ferrari
MAG,1,,Haas F1 Team
NOR,1,,McLaren
PER,1,,Racing Point
RAI,1,,Alfa Romeo Racing
RUS,2,,Williams
STR,1,,Racing Point
VER,1,,Red Bull Racing
VET,1,,Ferrari
