Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
Soft,82.497,16,13.599439775910364,357
SUPERSOFT,82.505,18,17.322,500
Medium,85.692,1,25.5,48
nan,137.567,1,0.0,1
