Compound,AvgTyreLife,StdTyreLife,AvgLapTime,AvgLapsPerStint,AvgDegradation,AvgConsistency
Intermediate,4.0,0.9258200997725514,106.46746875,4.0,6.63940625,0.09571545978524561
Medium,25.5,6.059886320899281,82.46579271448164,25.5,1.1103657844819976,0.16575769860407474
Soft,30.9375,8.713734369755981,81.72965491554228,30.75,0.6792588762268873,0.3318797921601902
ULTRASOFT,20.791666666666668,5.6026326627419705,83.41878859560981,18.583333333333332,1.4996956092265092,0.2920927593257466
Wet,3.0,,102.17399999999999,3.0,4.420000000000002,0.12734780824782882
nan,0.0,,77.942,1.0,0.0,
