Compound,FastestLap,DriversUsed,AvgTyreLife,TotalLaps
HYPERSOFT,101.905,15,12.851528384279476,229
Soft,102.913,12,20.71139240506329,395
ULTRASOFT,103.12,13,21.225446428571427,448
