Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
RUS,Mercedes,2,0 days 00:01:26.918000,0 days 00:00:30.877000,0 days 00:00:31.695000,0 days 00:00:24.346000,Hard,2,1,,,1,True,0 days 00:58:09.035000,86.918,30.877,31.695,24.346,3489.035,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3552428725925585,0.36465404174049104,0.2801030856669504,3,False,hungarian_grand_prix,2024,85.507875,32
SAR,Williams,2,0 days 00:01:26.841000,0 days 00:00:30.427000,0 days 00:00:31.989000,0 days 00:00:24.425000,Medium,2,1,,,1,True,0 days 00:58:09.666000,86.841,30.427,31.989,24.425,3489.666,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3503759744820995,0.36836287007289187,0.28126115544500874,3,False,hungarian_grand_prix,2024,86.3032857142857,7
HUL,Haas F1 Team,2,0 days 00:01:28.821000,0 days 00:00:30.591000,0 days 00:00:31.755000,0 days 00:00:26.475000,Medium,2,1,0 days 00:58:08.236000,,1,False,0 days 00:58:09.944000,88.821,30.591,31.755,26.475,3489.944,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,2.0,,0.34441179450805554,0.3575168034586415,0.29807140203330296,3,False,hungarian_grand_prix,2024,88.821,1
PER,Red Bull Racing,2,0 days 00:01:27.372000,0 days 00:00:31.057000,0 days 00:00:31.981000,0 days 00:00:24.334000,Hard,2,1,,,1,True,0 days 00:58:10.015000,87.372,31.057,31.981,24.334,3490.015,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3554571258526759,0.36603259625509316,0.27851027789223093,3,False,hungarian_grand_prix,2024,85.55177777777779,27
ZHO,Kick Sauber,2,0 days 00:01:27.425000,0 days 00:00:30.819000,0 days 00:00:32.276000,0 days 00:00:24.330000,Medium,3,1,,,1,True,0 days 00:58:10.590000,87.425,30.819,32.276,24.33,3490.59,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.35251930225907924,0.3691850157277667,0.27829568201315413,3,False,hungarian_grand_prix,2024,86.75850000000001,6
GAS,Alpine,2,0 days 00:01:27.321000,0 days 00:00:30.695000,0 days 00:00:32.369000,0 days 00:00:24.257000,Hard,2,1,,,1,True,0 days 00:58:11.121000,87.321,30.695,32.369,24.257,3491.121,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3515191076602421,0.37068975389654263,0.2777911384432153,3,False,hungarian_grand_prix,2024,85.98388888888888,27
PIA,McLaren,3,0 days 00:01:24.401000,0 days 00:00:30.303000,0 days 00:00:30.297000,0 days 00:00:23.801000,Medium,3,1,,,1,True,0 days 00:59:20.387000,84.401,30.303,30.297,23.801,3560.387,3537.86,29.0,46.0,981.7,False,45.2,316,1.1,False,True,,,0.359036030378787,0.35896494117368277,0.2819990284475302,3,False,hungarian_grand_prix,2024,84.26270588235293,17
VER,Red Bull Racing,3,0 days 00:01:24.075000,0 days 00:00:29.983000,0 days 00:00:30.562000,0 days 00:00:23.530000,Medium,3,1,,,1,True,0 days 00:59:21.639000,84.075,29.983,30.562,23.53,3561.639,3537.86,29.0,46.0,981.7,False,45.2,316,1.1,False,True,,,0.3566220636336604,0.36350877192982456,0.279869164436515,3,False,hungarian_grand_prix,2024,84.65525,20
NOR,McLaren,3,0 days 00:01:24.393000,0 days 00:00:30.228000,0 days 00:00:30.495000,0 days 00:00:23.670000,Medium,3,1,,,1,True,0 days 00:59:23.224000,84.393,30.228,30.495,23.67,3563.224,3537.86,29.0,46.0,981.7,False,45.2,316,1.1,False,True,,,0.3581813657530838,0.3613451352600334,0.28047349898688284,3,False,hungarian_grand_prix,2024,84.316625,16
HAM,Mercedes,3,0 days 00:01:24.679000,0 days 00:00:30.308000,0 days 00:00:30.549000,0 days 00:00:23.822000,Medium,3,1,,,1,True,0 days 00:59:24.954000,84.679,30.308,30.549,23.822,3564.954,3537.86,29.0,46.0,981.7,False,45.2,316,1.1,False,True,,,0.35791636651353936,0.3607624086255152,0.28132122486094546,3,False,hungarian_grand_prix,2024,84.62586666666667,15
LEC,Ferrari,3,0 days 00:01:24.647000,0 days 00:00:30.280000,0 days 00:00:30.432000,0 days 00:00:23.935000,Medium,3,1,,,1,True,0 days 00:59:26.143000,84.647,30.28,30.432,23.935,3566.143,3537.86,29.0,46.0,981.7,False,45.2,316,1.1,False,True,,,0.3577208879227852,0.3595165806230581,0.28276253145415664,3,False,hungarian_grand_prix,2024,84.66799999999999,22
SAI,Ferrari,3,0 days 00:01:24.871000,0 days 00:00:30.216000,0 days 00:00:30.932000,0 days 00:00:23.723000,Medium,3,1,,,1,True,0 days 00:59:28.478000,84.871,30.216,30.932,23.723,3568.478,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.35602266969871926,0.364459002486126,0.2795183278151548,3,False,hungarian_grand_prix,2024,84.8969,20
ALO,Aston Martin,3,0 days 00:01:26.908000,0 days 00:00:31.214000,0 days 00:00:31.877000,0 days 00:00:23.817000,Soft,5,1,,,1,True,0 days 00:59:30.071000,86.908,31.214,31.877,23.817,3570.071,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3591614120679339,0.36679016891425414,0.27404841901781196,3,False,hungarian_grand_prix,2024,86.16583333333334,6
STR,Aston Martin,3,0 days 00:01:26.471000,0 days 00:00:30.447000,0 days 00:00:31.933000,0 days 00:00:24.091000,Soft,6,1,,,1,True,0 days 00:59:30.869000,86.471,30.447,31.933,24.091,3570.869,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.352106486567751,0.3692914387482508,0.2786020746839981,3,False,hungarian_grand_prix,2024,85.57415384615385,13
ALB,Williams,3,0 days 00:01:26.583000,0 days 00:00:30.502000,0 days 00:00:31.975000,0 days 00:00:24.106000,Soft,3,1,,,1,True,0 days 00:59:31.466000,86.583,30.502,31.975,24.106,3571.466,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3522862455678366,0.3692988230946029,0.2784149313375605,3,False,hungarian_grand_prix,2024,86.6388,5
MAG,Haas F1 Team,3,0 days 00:01:26.600000,0 days 00:00:30.297000,0 days 00:00:31.937000,0 days 00:00:24.366000,Soft,3,1,,,1,True,0 days 00:59:32.319000,86.6,30.297,31.937,24.366,3572.319,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3498498845265589,0.3687875288683603,0.28136258660508084,3,False,hungarian_grand_prix,2024,86.6812,5
RIC,RB,3,0 days 00:01:26.545000,0 days 00:00:30.497000,0 days 00:00:31.793000,0 days 00:00:24.255000,Medium,3,1,,,1,True,0 days 00:59:32.678000,86.545,30.497,31.793,24.255,3572.678,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.35238315327286385,0.36735802183835,0.2802588248887862,3,False,hungarian_grand_prix,2024,86.23033333333335,6
TSU,RB,3,0 days 00:01:26.681000,0 days 00:00:30.335000,0 days 00:00:31.840000,0 days 00:00:24.506000,Medium,3,1,,,1,True,0 days 00:59:33.390000,86.681,30.335,31.84,24.506,3573.39,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.34996135254554056,0.3673238656683702,0.2827147817860892,3,False,hungarian_grand_prix,2024,85.57721428571428,28
BOT,Kick Sauber,3,0 days 00:01:26.586000,0 days 00:00:30.302000,0 days 00:00:31.914000,0 days 00:00:24.370000,Medium,4,1,,,1,True,0 days 00:59:33.796000,86.586,30.302,31.914,24.37,3573.796,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3499641974453145,0.3685815258817823,0.28145427667290324,3,False,hungarian_grand_prix,2024,85.7312,15
OCO,Alpine,3,0 days 00:01:26.303000,0 days 00:00:30.104000,0 days 00:00:31.671000,0 days 00:00:24.528000,Medium,3,1,,,1,True,0 days 00:59:34.627000,86.303,30.104,31.671,24.528,3574.627,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3488175382084053,0.36697449683093286,0.28420796496066186,3,False,hungarian_grand_prix,2024,86.828,5
RUS,Mercedes,3,0 days 00:01:26.012000,0 days 00:00:30.333000,0 days 00:00:31.371000,0 days 00:00:24.308000,Hard,3,1,,,1,True,0 days 00:59:35.047000,86.012,30.333,31.371,24.308,3575.047,3597.863,28.8,48.0,981.7,False,46.8,321,1.7,False,True,,,0.3526600939403804,0.3647281774636097,0.28261172859600986,3,False,hungarian_grand_prix,2024,85.507875,32
