Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
TSU,AlphaTauri,5,0 days 00:01:18.051000,0 days 00:00:21.721000,0 days 00:00:25.152000,0 days 00:00:31.178000,Hard,3,3,,,1,True,0 days 01:09:11.610000,78.051,21.721,25.152,31.178,4151.61,4139.721,18.5,62.0,1011.4,False,30.8,334,2.0,False,True,,,0.27829239855991594,0.3222508359918515,0.39945676544823255,1,False,canadian_grand_prix,2023,81.17776470588235,68
VER,Red Bull Racing,6,0 days 00:01:17.607000,0 days 00:00:21.609000,0 days 00:00:24.763000,0 days 00:00:31.235000,Medium,6,1,,,1,True,0 days 01:09:56.824000,77.607,21.609,24.763,31.235,4196.824,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.27844137771077354,0.31908204156841524,0.40247658072081127,1,False,canadian_grand_prix,2023,80.32336363636364,11
HAM,Mercedes,6,0 days 00:01:17.780000,0 days 00:00:21.706000,0 days 00:00:24.781000,0 days 00:00:31.293000,Medium,6,1,,,1,True,0 days 01:09:58.852000,77.78,21.706,24.781,31.293,4198.852,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.27906916945230137,0.31860375417845205,0.4023270763692466,1,False,canadian_grand_prix,2023,81.202,11
ALO,Aston Martin,6,0 days 00:01:17.820000,0 days 00:00:21.870000,0 days 00:00:24.894000,0 days 00:00:31.056000,Medium,6,1,,,1,True,0 days 01:09:59.390000,77.82,21.87,24.894,31.056,4199.39,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.28103315343099466,0.3198920585967618,0.39907478797224366,1,False,canadian_grand_prix,2023,81.16181818181818,11
RUS,Mercedes,6,0 days 00:01:17.659000,0 days 00:00:21.733000,0 days 00:00:24.743000,0 days 00:00:31.183000,Medium,6,1,,,1,True,0 days 01:10:00.868000,77.659,21.733,24.743,31.183,4200.868,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.2798516591766569,0.31861084999806843,0.40153749082527457,1,False,canadian_grand_prix,2023,79.4038,10
OCO,Alpine,6,0 days 00:01:18.462000,0 days 00:00:21.887000,0 days 00:00:25.139000,0 days 00:00:31.436000,Medium,6,1,,,1,True,0 days 01:10:05.256000,78.462,21.887,25.139,31.436,4205.256,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.278950319900079,0.32039713491881416,0.40065254518110677,1,False,canadian_grand_prix,2023,82.17754545454545,11
HUL,Haas F1 Team,6,0 days 00:01:18.726000,0 days 00:00:22.095000,0 days 00:00:25.138000,0 days 00:00:31.493000,Medium,6,1,,,1,True,0 days 01:10:06.932000,78.726,22.095,25.138,31.493,4206.932,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.2806569621217895,0.31931001194014685,0.40003302593806367,1,False,canadian_grand_prix,2023,82.1806,10
PIA,McLaren,6,0 days 00:01:18.615000,0 days 00:00:22.280000,0 days 00:00:25.167000,0 days 00:00:31.168000,Medium,6,1,,,1,True,0 days 01:10:07.163000,78.615,22.28,25.167,31.168,4207.163,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.283406474591363,0.3201297462316352,0.3964637791770019,1,False,canadian_grand_prix,2023,82.447,11
NOR,McLaren,6,0 days 00:01:18.713000,0 days 00:00:22.198000,0 days 00:00:25.212000,0 days 00:00:31.303000,Medium,6,1,,,1,True,0 days 01:10:08.052000,78.713,22.198,25.212,31.303,4208.052,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.28201186589254634,0.3203028724607117,0.397685261646742,1,False,canadian_grand_prix,2023,83.17854545454544,11
LEC,Ferrari,6,0 days 00:01:18.561000,0 days 00:00:22.261000,0 days 00:00:25.226000,0 days 00:00:31.074000,Medium,6,1,,,1,True,0 days 01:10:08.539000,78.561,22.261,25.226,31.074,4208.539,4199.736,18.5,62.0,1011.5,False,30.8,359,1.8,False,True,,,0.2833594277058591,0.3211008006517228,0.395539771642418,1,False,canadian_grand_prix,2023,84.24381578947369,38
